company,job_title,location,job_type,experience_level,salary,requirment_of_the_company,facilities,role
SGS,Clinical Data Analyst,"Richardson, TX, United States",Full Time,Entry-level,48000.0,"Computer Science,Data quality,Genetics,Mathematics,SAS,Statistics",",,,,",data analyst
Ocorian,AML/CFT & Data Analyst,"Ebène, Mauritius",Full Time,Entry-level,48000.0,"Agile,Data management,Finance,Security,,",",,,,",data analyst
Bosch Group,Application Developer & Data Analyst,"Nonantola, Italy",Full Time,Entry-level,48000.0,"Engineering,Industrial,Oracle,Power BI,R,R&D",",,,,",data analyst
Publicis Groupe,Data Engineer Full time (Public Sector) USA,"Arlington, VA, United States",Full Time,Mid-level,108000.0,"AWS,Azure,Computer Science,Consulting,Dataflow,Data pipelines","Flex hours,Flex vacation,Parental leave,Unlimited paid time off,",data engineer
ServiceNow,Sr Staff Data Scientist - ATG,"Kirkland, Washington, United States",Full Time,Senior-level,184000.0,"Computer Science,Deep Learning,Industrial,Machine Learning,NLP,NumPy","401(k) matching,Career development,Competitive pay,Equity,Flex hours",data scientist
Natixis in Portugal,Vendor Management and Data Quality Lead,"Porto, Portugal",Full Time,Entry-level,39000.0,"Banking,Data quality,Excel,Security,,","Gear,,,,",other
Western Digital,Summer 2023 Data Engineering Intern,"San Jose, CA, United States",Internship,Entry-level,,"Big Data,Computer Science,Engineering,Machine Learning,Mathematics,Matlab","Career development,Competitive pay,Equity,Flex vacation,Health care",data engineer
Palo Alto Networks,Principal Cloud Data Engineer (Prisma Access),"Santa Clara, CA, United States",Full Time,Senior-level,140000.0,"Agile,APIs,AWS,Azure,Big Data,Computer Science","Career development,Medical leave,Salary bonus,Startup environment,",data engineer
CERN,Data Scientist (TE-CRG-GLO-2023-19-GRAP),"Geneva, Switzerland",Full Time,Entry-level,40000.0,"Computer Science,Data analysis,Deep Learning,Keras,Machine Learning,PhD","Career development,Health care,Medical leave,,",data scientist
NielsenIQ,Data Analyst - Revenue Optimizer,"Toronto, ON, Canada",Full Time,,80000.0,"Business Analytics,Business Intelligence,Data management,Economics,Engineering,Genetics","Career development,Startup environment,,,",data analyst
Bosch Group,SAP Consultant - Product Data Management,"Braga, Portugal",Full Time,Senior-level,62000.0,"Data management,Engineering,R,Spark,,","Flex hours,,,,",other
Bosch Group,PreMaster Programm - Data Analyst and Visualization,"Gerlingen, Germany",Full Time,Entry-level,39000.0,"BigQuery,Data Analytics,LLMs,Pandas,Python,","Team events,,,,",data analyst
ServiceNow,Staff Data Scientist - ATG,"Kirkland, Washington, United States",Full Time,Senior-level,159000.0,"Computer Science,Deep Learning,Industrial,Machine Learning,NLP,NumPy","401(k) matching,Career development,Competitive pay,Equity,Flex hours",data scientist
Canva,Senior Data Analyst - Sales,"Sydney, New South Wales, Australia",Full Time,Senior-level,92000.0,"BigQuery,Excel,Finance,Python,R,Redshift","Flex hours,Flex vacation,Home office stipend,Parental leave,Startup environment",data analyst
DeepL,"Data Scientist | Insights (f/m/d) - GER, UK, NL, PL",Remote job,Full Time,Senior-level,129000.0,"Agile,Data visualization,Economics,Machine Learning,Mathematics,Metabase","Career development,,,,",data scientist
Printify,Senior Data Analyst (Remote within EMEA),Tallinn,Full Time,Senior-level,92000.0,"Architecture,Data analysis,Data Analytics,Data quality,Data visualization,E-commerce","Career development,Equity,Fitness / gym,Home office stipend,Relocation support",data analyst
Visa,Senior Data Engineer (Evergreen),"Bengaluru, India",Full Time,Senior-level,115000.0,"Agile,Airflow,Clustering,Computer Science,Data governance,Data Mining","Career development,Flex hours,,,",data engineer
Talan,Data Management Scrum Master,"Málaga, Spain",Full Time,Entry-level,39000.0,"Agile,Azure,Big Data,Blockchain,Databricks,Data management",",,,,",other
EX2 Outcoding,Data Engineer Scientist,Remote Worldwide,Full Time,Mid-level,73000.0,"Computer Science,Data Mining,Engineering,Python,SQL,Statistics",",,,,",data engineer
CGG,Data Scientist (Elasticsearch),"Houston, TX, United States",Full Time,Entry-level,40000.0,"Agile,CI/CD,Computer Vision,Data quality,Data visualization,Deep Learning","Career development,Flex hours,Health care,,",data scientist
RCA,Data Engineer F/H,"Saint-Herblain, France",Full Time,Entry-level,59000.0,"Airflow,Architecture,AWS,Data warehouse,DevOps,ETL",",,,,",data engineer
Block,Data Scientist - Fraud Risk,"Mexico City, Mexico",Full Time,Senior-level,129000.0,"Banking,Blockchain,Crypto,Data pipelines,Engineering,Fraud risk","Career development,Flex vacation,,,",data scientist
QuintoAndar,QuintoAndar - Senior Data Analyst,"São Paulo, State of São Paulo, Brazil ",Full Time,Senior-level,92000.0,"Clustering,Looker,Python,SQL,Tableau,","Fitness / gym,,,,",data analyst
